run	status	exit_code	duration_seconds	accuracy	loss	json	log
main__homogeneous__vanilla__fedopt__noise-0.01__seed-45	PASS	0	228	0.359375	1.1337204158306122	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-45.log
main__homogeneous__vanilla__fedyogi__noise-0.01__seed-45	PASS	0	219	0.9625	0.558505106859775	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-45.log
main__homogeneous__global-dp__fedavg__noise-0.01__seed-45	PASS	0	215	0.94375	0.22943491116166115	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-45.log
main__homogeneous__global-dp__fedavgm__noise-0.01__seed-45	PASS	0	233	0.775	0.5948600724339486	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-45.log
main__homogeneous__global-dp__fedmedian__noise-0.01__seed-45	PASS	0	226	0.940625	0.250091852247715	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-45.log
main__homogeneous__global-dp__fedprox__noise-0.01__seed-45	PASS	0	237	0.5609375	0.9120569586753845	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-45.log
main__homogeneous__global-dp__fedopt__noise-0.01__seed-45	PASS	0	245	0.4953125	1.068834227323532	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-45.log
main__homogeneous__global-dp__fedyogi__noise-0.01__seed-45	PASS	0	231	0.95625	0.4711193893803284	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-45.log
main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-45	PASS	0	219	0.940625	0.24046224681660533	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-45.log
main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-45	PASS	0	227	0.7453125	0.6641025125980378	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-45.log
